人気,出走数,勝率,連対率,複勝率,平均着順,平均オッズ
1,19932,0.3341360626128838,0.5234296608468794,0.6479530403371463,3.5359221352598835,2.646658639373871
2,19923,0.19735983536615972,0.37971189077950107,0.5218591577573659,4.405461024946042,4.3947046127591225
3,19930,0.1325137982940291,0.28063221274460615,0.417059708981435,5.075062719518314,6.392272955343703
4,19927,0.09263812917147589,0.2096652782656697,0.33697997691574244,5.660259948813168,9.201425201987254
5,19923,0.07147517944084726,0.16362997540531043,0.2671786377553581,6.206595392260202,13.298423932138734
6,19874,0.05217872597363389,0.12654724766025963,0.21757069538089968,6.712136459696086,19.1801499446513
7,19734,0.038461538461538464,0.09394952873213742,0.16565318739231782,7.238471673254282,27.92923380966859
8,19436,0.027937847293681827,0.07167112574603828,0.1296563078822803,7.799907388351513,39.93343795019551
9,18786,0.01996167358671351,0.05221973810284254,0.10124560843181092,8.338124134994144,55.542946875332696
10,17869,0.01634114947674744,0.043762941406905814,0.07924338239409033,8.911131009010017,73.99157759247859
11,16656,0.0111671469740634,0.03218059558117195,0.06201969260326609,9.434197886647455,96.97468780019213
12,15273,0.008577227787599031,0.02599358344791462,0.04845151574674262,10.075165324428731,123.6515091992405
13,13617,0.006168759638686935,0.016376588088418888,0.034662554160240874,10.706249541014907,153.18656826026293
14,12075,0.004968944099378882,0.012919254658385093,0.02865424430641822,11.234865424430641,192.02658385093167
15,9969,0.004313371451499649,0.01073327314675494,0.022770588825358613,11.90560738288695,239.8322399438258
16,7675,0.0029967426710097718,0.006905537459283388,0.014592833876221498,12.632312703583063,304.1380586319218
17,1642,0.0006090133982947625,0.004263093788063338,0.009135200974421437,13.52923264311815,286.40937880633373
18,1236,0.0016181229773462784,0.0024271844660194173,0.007281553398058253,14.240291262135923,360.75339805825246
