banusicode,banusiname,N,mean_residual,std_residual,mean_implied,actual_win_rate,promo_risk_count,t_stat,p_value,p_bh
002803,キーファーズ,146,-0.15524465329119538,0.3386294186909385,0.27853232452407206,0.1232876712328767,136,-5.539472294296738,6.936825974815244e-08,2.3353980781877988e-06
003060,ゴドルフィン,959,-0.044825059260410215,0.41049615296029207,0.2773589487286062,0.23253388946819603,916,-4.23348788674238,1.2281476873829866e-05,0.00017720416632240234
003060,Ｈ．Ｈ．シェイク・モハメド,394,-0.05102797397238703,0.39235318881112047,0.2566117303175647,0.20558375634517767,298,-4.23348788674238,1.2281476873829866e-05,0.00017720416632240234
005803,キャピタル・システム,178,-0.002821651869410296,0.41805466797731455,0.25563064063345525,0.25280898876404495,156,-0.09004930271375172,0.46417492685038625,0.49874114480732995
006030,佐々木　主浩,64,0.07185219591236221,0.4889045425733964,0.3343978040876378,0.40625,54,1.175725560399357,0.8779356987794786,0.8867150557672734
007803,大川　徹,250,-0.021349330232044668,0.4159780583745548,0.27734933023204467,0.256,240,-0.8114912396600817,0.20892932492344535,0.28324646734587894
008803,原　禮子,161,-0.0602343112028791,0.40122790317778867,0.2714144354264816,0.2111801242236025,156,-1.9494730878987026,0.02648826676660924,0.06885162328789542
010803,市川義美ホールディングス,143,-0.04727022115868556,0.3918756581796646,0.2500674239558883,0.20279720279720279,143,-1.4424719122014706,0.07568568968576792,0.14295832462143707
011008,平田　修,55,-0.06486702983591601,0.39486572781810725,0.26486702983591603,0.2,55,-1.2183046910394575,0.1142022006439099,0.18764413980999092
013803,ディアレストクラブ,139,-0.08322704431798345,0.3447379849758483,0.24869467021726402,0.16546762589928057,131,-2.846313501750218,0.0025490960115603055,0.011193856398590907
015008,青山　洋一,114,-0.05197383843670237,0.4001451194778179,0.26250015422617606,0.21052631578947367,107,-1.3868187140987147,0.08411337020661747,0.1537993991228792
017803,吉川　潤,50,0.14359783613214136,0.48957610733900014,0.23640216386785862,0.38,50,2.0740187719667973,0.9783231057401056,0.9783231057401056
019004,加藤　守,94,-0.071475189801443,0.3737426735346538,0.2629645515035707,0.19148936170212766,89,-1.8541572180054386,0.03344301336902118,0.07794821214541246
019800,さくらコマース,91,-0.012917002147874659,0.42855289945039693,0.2766532658841384,0.26373626373626374,56,-0.28752657441933227,0.3871850847655544,0.428429194985382
026803,ＤＭＭドリームクラブ,177,-0.10183841256209222,0.37511352427217826,0.2939288080423182,0.192090395480226,166,-3.611898452731276,0.00019816071689657218,0.0018194756733230719
032800,ローレルレーシング,90,0.03484907189630792,0.43109638243095827,0.22070648365924764,0.25555555555555554,81,0.7668988608570304,0.7774143863648406,0.7971457159680092
033700,アポロサラブレッドクラブ,98,-0.024126524290611726,0.3965083299517238,0.24861632020897906,0.22448979591836735,95,-0.602359110796055,0.2741703372986136,0.3477999803161787
037803,廣崎利洋ＨＤ,150,-0.08761894711556595,0.37511399235086546,0.28761894711556596,0.2,145,-2.860753219148016,0.002417037012107511,0.010849810587682605
039030,宇田　豊,63,-0.0660180607882768,0.3887545389224288,0.2564942512644673,0.19047619047619047,59,-1.3478996646728127,0.09129757451942766,0.16083397423281215
041002,前田　晋二,134,-0.03172479346470124,0.40871537780466294,0.2854561367482833,0.2537313432835821,119,-0.8985251225306278,0.18526472518241888,0.2549873263029685
045803,カナヤマホールディングス,265,-0.04496889758328699,0.39821887974009484,0.2600632372059285,0.21509433962264152,256,-1.8382870662498247,0.033571754735895465,0.07794821214541246
046803,フクキタル,57,-0.05827221228143437,0.3722490856098717,0.28634238772003084,0.22807017543859648,56,-1.181857986785914,0.12112823499744274,0.19266065724002704
051800,那須野牧場,55,-0.08672847317784844,0.3529455113883173,0.25036483681421207,0.16363636363636364,53,-1.8223650700065726,0.036969356962582106,0.08297566784935095
051803,ＫＴレーシング,50,-0.10077945018428011,0.40335411305598207,0.28077945018428013,0.18,49,-1.7667312746521018,0.04175079024406268,0.09164653361996075
052803,大迫　久美子,70,-0.131258790891413,0.33692185550050596,0.27411593374855586,0.14285714285714285,67,-3.2594793622664042,0.0008673027436268425,0.005474848569144443
053803,杉山　忠国,155,-0.07072069136179943,0.3785470833726993,0.2642690784585736,0.1935483870967742,142,-2.2298302731593527,0.013588667973836612,0.045748515511916596
059803,加藤ステーブル,67,-0.09488372623706016,0.41110300223557755,0.3038389501176572,0.208955223880597,60,-1.8892023831902194,0.03162952280187547,0.07572568822714484
061800,永井商事,66,-0.01570182524357144,0.3796491180276191,0.2429745525162987,0.22727272727272727,58,-0.33600033621670816,0.36897641888810434,0.414073536752206
063803,諸江　幸祐,64,-0.09830757901030891,0.36679257649471475,0.2545575790103089,0.15625,60,-1.8945136788810022,0.0311740868672883,0.07572568822714484
064700,Ｈｉｍ　Ｒｏｃｋ　Ｒａｃｉｎｇ,63,-0.05499646356998733,0.40654433751472063,0.2930917016652254,0.23809523809523808,40,-1.0737350308484466,0.1435513659992989,0.21321599949895867
065803,京都ホースレーシング,62,-0.09852020019248568,0.3658252725336601,0.2598105227731309,0.16129032258064516,59,-2.1205446706623428,0.01901719781015605,0.05487819939502174
072803,スリーエイチレーシング,94,-0.044354580582089354,0.3802681435634996,0.24648224015655745,0.20212765957446807,94,-1.0190505943744004,0.155383566242627,0.22580921137417737
075800,千明牧場,50,-0.04163632255373757,0.4004670232064844,0.30163632255373757,0.26,49,-0.7351747913145399,0.23286868306089098,0.30596820882797054
075803,サトミホースカンパニー,273,-0.077622597782148,0.38758816344998553,0.2864138065733568,0.2087912087912088,264,-3.3090169437330608,0.0005312684584915736,0.003577207620509929
078006,畑佐　博,56,-0.050055932646618416,0.38255320290720407,0.228627361218047,0.17857142857142858,49,-0.979169165050803,0.1658919679371253,0.23766083349857667
084800,ラッキーフィールド,123,-0.052450921829159794,0.42045098112803103,0.304483442154363,0.25203252032520324,94,-1.3835355117508636,0.08451353120118611,0.1537993991228792
087803,Ｈｉｍ　Ｒｏｃｋ　Ｒａｃｉｎｇホールディングス,65,-0.10817228716295606,0.338619152492349,0.23124921023987913,0.12307692307692308,58,-2.575497735174396,0.006165023394131318,0.024906694512290523
089803,了徳寺健二ホールディングス,221,-0.019816641426238246,0.4038810938425081,0.2641605328289532,0.24434389140271492,206,-0.7294115973110983,0.23326289187874982,0.30596820882797054
098803,Ｇリビエール・レーシング,63,-0.08601099396695144,0.36162568739451517,0.2764871844431419,0.19047619047619047,62,-1.8878390666349705,0.03186476979855105,0.07572568822714484
100800,日進牧場,57,-0.03731680502877525,0.39745912280615875,0.23029926116912613,0.19298245614035087,35,-0.7088419499127585,0.2406815836943152,0.31366245100807527
102800,ターフ・スポート,156,-0.026875827003062378,0.3862266942768729,0.24482454495178033,0.21794871794871795,146,-0.8691242129375328,0.19306150639410646,0.26350286683519936
124008,山本　英俊,92,-0.08409547797858509,0.3778080800548709,0.2797476518916286,0.1956521739130435,67,-2.1349873946537867,0.01772450215992947,0.05265219759273166
132030,澤田　昭紀,60,-0.07228634402553778,0.36209280448653103,0.2222863440255378,0.15,56,-1.5463649268928892,0.06368199468394889,0.12611532280546742
