banusicode,banusiname,N,wins,place_2nd3rd,drops,promo_risk_count,win_rate,rate_2nd3rd,drop_rate,p_value_win,p_bh_win,p_value_2nd3rd,p_bh_2nd3rd
002803,キーファーズ,146,18,43,85,136,0.1232876712328767,0.2945205479452055,0.5821917808219178,0.00369967796005313,0.2491116493102441,0.5510238701562089,0.9972659797981572
003060,ゴドルフィン,959,223,274,462,916,0.23253388946819603,0.2857142857142857,0.48175182481751827,0.9353869563733745,0.9998664685304478,0.7758367447454249,0.9972659797981572
003060,Ｈ．Ｈ．シェイク・モハメド,394,81,103,210,298,0.20558375634517767,0.2614213197969543,0.5329949238578681,0.3892884093163952,0.9998664685304478,0.94383652148506,0.9972659797981572
005803,キャピタル・システム,178,45,49,84,156,0.25280898876404495,0.2752808988764045,0.47191011235955055,0.9160030005432169,0.9998664685304478,0.7559396099222042,0.9972659797981572
006030,佐々木　主浩,64,26,17,21,54,0.40625,0.265625,0.328125,0.9998664685304478,0.9998664685304478,0.7470770220521281,0.9972659797981572
007803,大川　徹,250,64,64,122,240,0.256,0.256,0.488,0.9569356387800844,0.9998664685304478,0.9305952868857004,0.9972659797981572
008803,原　禮子,161,34,48,79,156,0.2111801242236025,0.2981366459627329,0.4906832298136646,0.5247734983963678,0.9998664685304478,0.5105276867670385,0.9972659797981572
010803,市川義美ホールディングス,143,29,38,76,143,0.20279720279720279,0.26573426573426573,0.5314685314685315,0.43125488517116184,0.9998664685304478,0.8138530212994272,0.9972659797981572
011008,平田　修,55,11,18,26,55,0.2,0.32727272727272727,0.4727272727272727,0.48539200199943167,0.9998664685304478,0.3553902876963826,0.9972659797981572
013803,ディアレストクラブ,139,23,40,76,131,0.16546762589928057,0.28776978417266186,0.5467625899280576,0.101034424110298,0.8744151555077834,0.6194999233785577,0.9972659797981572
015008,青山　洋一,114,24,29,61,107,0.21052631578947367,0.2543859649122807,0.5350877192982456,0.5299013910076336,0.9998664685304478,0.861690212884713,0.9972659797981572
017803,吉川　潤,50,19,12,19,50,0.38,0.24,0.38,0.9979199162516451,0.9998664685304478,0.8485217293780861,0.9972659797981572
019004,加藤　守,94,18,37,39,89,0.19148936170212766,0.39361702127659576,0.4148936170212766,0.3596859886809402,0.9998664685304478,0.02771173660576204,0.6407542300021789
019800,さくらコマース,91,24,27,40,56,0.26373626373626374,0.2967032967032967,0.43956043956043955,0.9029695373238124,0.9998664685304478,0.5370129127708336,0.9972659797981572
026803,ＤＭＭドリームクラブ,177,34,48,95,166,0.192090395480226,0.2711864406779661,0.536723163841808,0.2837062278066256,0.9998664685304478,0.7919342289461689,0.9972659797981572
032800,ローレルレーシング,90,23,17,50,81,0.25555555555555554,0.18888888888888888,0.5555555555555556,0.867218824276354,0.9998664685304478,0.9926823710198193,0.9972659797981572
033700,アポロサラブレッドクラブ,98,22,31,45,95,0.22448979591836735,0.3163265306122449,0.45918367346938777,0.6641277010094591,0.9998664685304478,0.36899725937886935,0.9972659797981572
037803,廣崎利洋ＨＤ,150,30,54,66,145,0.2,0.36,0.44,0.3944849175216239,0.9998664685304478,0.05489575174329924,0.796902167102681
039030,宇田　豊,63,12,16,35,59,0.19047619047619047,0.25396825396825395,0.5555555555555556,0.4003649587643636,0.9998664685304478,0.8081171011219441,0.9972659797981572
041002,前田　晋二,134,34,36,64,119,0.2537313432835821,0.26865671641791045,0.47761194029850745,0.8944965608193036,0.9998664685304478,0.7861435490884753,0.9972659797981572
045803,カナヤマホールディングス,265,57,90,118,256,0.21509433962264152,0.33962264150943394,0.44528301886792454,0.57032468311912,0.9998664685304478,0.07164223914462342,0.796902167102681
046803,フクキタル,57,13,18,26,56,0.22807017543859648,0.3157894736842105,0.45614035087719296,0.6795874492092434,0.9998664685304478,0.42292888957076236,0.9972659797981572
051800,那須野牧場,55,9,12,34,53,0.16363636363636364,0.21818181818181817,0.6181818181818182,0.23830387254485574,0.9998664685304478,0.9255316889084891,0.9972659797981572
051803,ＫＴレーシング,50,9,19,22,49,0.18,0.38,0.44,0.35722474075973576,0.9998664685304478,0.1282209464158069,0.8371640023788656
052803,大迫　久美子,70,10,30,30,67,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.09543444285153971,0.8744151555077834,0.012805653203297808,0.6407542300021789
053803,杉山　忠国,155,30,44,81,142,0.1935483870967742,0.2838709677419355,0.5225806451612903,0.3173661130487669,0.9998664685304478,0.6626194181523642,0.9972659797981572
